MSHA ID,Year,Mine_Name,Mine_State,Mine_County,Mine_Status,Mine_Type,Company_Type,Operation_Type,Operating_Company,Operating_Company_Address,Union_Code,Coal_Supply_Region,Production_(short_tons),Average_Employees,Labor_Hours,log_production
1519549,2016,Pathfork,Kentucky (East),Harlan,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Nally & Hamilton Enterprises,","P.O. Box 157, Bardstown, KY 40004",,Appalachia Central,2316,6,4509,7.7475968386928855
1519645,2016,S-27 Bluegrass,Kentucky (East),Harlan,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 117, Stoney Fork, KY 40988",,Appalachia Central,19733,10,14776,9.890047640169426
1519737,2016,D-5,Kentucky (East),Harlan,Active,Underground,Independent Producer Operator,Mine only,"Revelation Energy, Llc","76 George Road, Betsy Layne, KY 41605",,Appalachia Central,134859,35,84556,11.811985067163944
1519757,2016,Day Branch,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,Nally & Hamilton Enterprises I,"P.O. Box 249, Calvin, KY 40813",,Appalachia Central,310980,34,99823,12.647483880411807
1519796,2016,Spruce Pine,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,Nally And Hamilton Enterprises,"2012 Hen Wilder Road, Calvin, KY 40813",,Appalachia Central,106335,39,31050,11.574349766957228
1519798,2016,S-29 Cave Branch,Kentucky (East),Harlan,Active,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,107891,22,28213,11.588876737202034
1517216,2016,Cardinal,Kentucky (West),Hopkins,Active,Underground,Operating Subsidiary,Mine only,Warrior Coal Llc,"57 J.E. Ellis Road, Madisonville, KY 42431",,Illinois Basin,3827292,401,1054594,15.157668061471014
1518826,2016,Elk Creek Mine,Kentucky (West),Hopkins,Permanently abandoned,Underground,Operating Subsidiary,Mine only,Hopkins County Coal Llc,"57 J.E. Ellis Road, Madisonville, KY 42431",,Illinois Basin,441044,121,152481,12.996899922694595
1515851,2016,Mine No 1,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,Jordan Construction,"15810 Hwy 32, Blaine, KY 41124",,Appalachia Central,3273,2,752,8.09346227450118
1518442,2016,Auger Mine No 28,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,B & H Coal Co Inc,"P.O. Box 221, Jackson, KY 41339",,Appalachia Central,848,2,306,6.742880635791903
1518538,2016,Auger Mine No 34,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,B & H Coal Co Inc,"P.O. Box 221, Jackson, KY 41339",,Appalachia Central,11313,2,1840,9.333707785926467
1518785,2016,Mine #1,Kentucky (East),Johnson,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Kc Coals Inc,"22903rd Street, Paintsville, KY 41240",,Appalachia Central,8,8,11779,2.0794415416798357
1519226,2016,S-22 Long Branch,Kentucky (East),Johnson,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc.","76 George Road, Betsy Layne, KY 41605",,Appalachia Central,5594,4,5303,8.629449873761905
1519538,2016,Job 5,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,"Ridgeline Coal, Llc","P.O. Box 1156, Grayson, KY 41257",,Appalachia Central,86386,15,21001,11.36658090462569
1519548,2016,Surface #4,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,Mine Rite Coal Co Inc,"190 Ky Rt 689 E, Flat Gap, KY 41219",,Appalachia Central,58262,11,22194,10.972705358794784
1519678,2016,Jc-1,Kentucky (East),Johnson,Active,Surface,Independent Producer Operator,Mine only,"Ember Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,45742,13,17923,10.730772192025304
1519748,2016,Jf Aml Stabilization And Recla,Kentucky (East),Johnson,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Jigsaw Enterprises, Llc","190 Left Fork Island Creek, Pikeville, KY 41501",,Appalachia Central,5173,12,1275,8.551208070003515
1517497,2016,No. 68,Kentucky (East),Knott,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,1544,8,13241,7.342131730584722
1519116,2016,Kingdom Coal #9,Kentucky (East),Knott,Active,Underground,Operating Subsidiary,Mine only,"Kingdom Coal, Llc.","77 Irvin Lane, Viper, KY 41774",,Appalachia Central,393818,50,99046,12.883644152624024
1519189,2016,Yellow Creek #21,Kentucky (East),Knott,Active,Surface,Independent Producer Operator,Mine only,B&w Resources Inc.,"300 Liperote  Way, London, KY 40741",,Appalachia Central,91860,11,22948,11.428020957879784
1519400,2016,No. 88,Kentucky (East),Knott,Temporarily closed,Underground,Independent Producer Operator,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,1607,8,7352,7.382124365737512
1519437,2016,S-14 Trace Fork,Kentucky (East),Knott,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Standville, KY 41659",,Appalachia Central,194423,12,21900,12.177791476767275
1517691,2016,Mine #3,Kentucky (East),Knox,Active,Underground,Independent Producer Operator,Mine only,Alden Resources Llc,"332 W Cumberland Gap Pkwy, Corbin, KY 40701",,Appalachia Central,26169,21,46633,10.172330783101328
1519187,2016,Shm-10 (Maple Creek North),Kentucky (East),Knox,Active,Surface,Independent Producer Operator,Mine only,Contract Highwall Mining Llc,"P.O. Box 249, Stanville, KY 41659",,Appalachia Central,123366,16,21748,11.722910825746656
1519322,2016,Ghm #25,Kentucky (East),Knox,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Green Hill Mining Inc,"P.O. Box 760, London, KY 40743",,Appalachia Central,17048,2,2583,9.743788173778453
1519387,2016,Elliott Branch,Kentucky (East),Knox,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Alden Resources Llc,"332 W Cumberland Gap Pkwy, Corbin, KY 40701",,Appalachia Central,16836,10,16404,9.731274729890462
1519486,2016,"Alden Resources, Llc #6",Kentucky (East),Knox,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Alden Resources, Llc","P.O. Box 856, Jellico, TN 37762",,Appalachia Central,11089,13,12600,9.313708904953216
1519696,2016,Flat Creek Mine,Kentucky (East),Knox,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Mountainside Coal Co., Inc.","7692 S. Hwy 25w, Williamsburg, KY 40769",,Appalachia Central,81376,28,36868,11.306835668221845
1519762,2016,Ghm #19,Kentucky (East),Laurel,Active,Surface,Independent Producer Operator,Mine only,"Green Hill Mining,inc","P.O. Box 760, London, KY 40743",,Appalachia Central,3292,2,678,8.09925056179696
1513418,2016,Dredge #1,Kentucky (East),Lawrence,Active,Surface,Independent Producer Operator,Mine only,Big Sandy Resources Inc,"31 Emerald Lane, Louisa, KY 41230",,Appalachia Central,276,4,6308,5.62040086571715
1519660,2016,No. 7,Kentucky (East),Lawrence,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Mayo Resources Inc,"P.O. Box 190, Lovely, KY 41231",,Appalachia Central,130945,32,71947,11.782532666694477
1512753,2016,Calvary No 81,Kentucky (East),Leslie,Active,Underground,Operating Subsidiary,Mine only,Blue Diamond Coal Co,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,432668,108,262986,12.977725969237413
1517746,2016,Thunder Ridge,Kentucky (East),Leslie,Temporarily closed,Surface,Operating Subsidiary,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,106092,11,23874,11.572061921193805
1518376,2016,D-2 Beechfork,Kentucky (East),Leslie,Active,Underground,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,138990,27,76054,11.842157267078804
1519161,2016,S-28 Lewis Creek,Kentucky (East),Leslie,Active,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,172630,15,42342,12.058905854810595
1519441,2016,Aces Branch Mine #9,Kentucky (East),Leslie,Active,Surface,Independent Producer Operator,Mine only,B & W Resources Inc,"300 Liperote Way, London, KY 40741",,Appalachia Central,94678,13,26546,11.458236939619427
1518988,2016,Red Fox,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,"H & D Coal Co., Inc.","P.O. Box 490, Whitesburg, KY 41858",,Appalachia Central,22341,16,29314,10.014178834378756
1519577,2016,No 3,Kentucky (East),Letcher,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Mjk Mining Inc,"282 Straight Fork Rd, Cornettsville, KY 41731",,Appalachia Central,11489,6,4482,9.349145334853365
1519681,2016,1,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,Adams & Burke Contractors & De,"P.O. Box 84, Isom, KY 41824",,Appalachia Central,13685,7,5128,9.52405562147478
1519690,2016,#1,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,"Genesis Group, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,2518,2,1380,7.831220214604293
1519738,2016,Auger 84,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,Mjk Mining Inc.,"45 Stamper Lane, Pikeville, KY 41501",,Appalachia Central,1950,2,600,7.575584651557793
1519770,2016,No. 4,Kentucky (East),Letcher,Active,Surface,Independent Producer Operator,Mine only,Mjk Mining Inc.,"P.O. Box 3668, Pikeville, KY 41857",,Appalachia Central,7330,4,3370,8.899730794880696
1519790,2016,Letcher 1,Kentucky (East),Letcher,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Sand Contracting, Llc","51 Elm Drive, Pinetop, KY 41843",,Appalachia Central,697,2,138,6.546785410760524
4609321,2016,No 34 Auger,Kentucky (East),Letcher,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Mjk Mining Inc,"166 Holly Drive, Pikeville, KY 41501",,Appalachia Central,1410,2,440,7.251344983372214
1519424,2016,Riveredge Mine,Kentucky (West),Mclean,Active,Underground,Independent Producer Operator,Mine only,Pennyrile Energy Llc,"7386 Sr 593, Calhoun, KY 42327",,Illinois Basin,1274873,149,379058,14.058357123770335
1519459,2016,Right Oakley Surface,Kentucky (East),Magoffin,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Ember Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,344489,41,98703,12.749817438592249
1518575,2016,No. 1,Kentucky (East),Martin,Active,Underground,Contractor,Mine only,Matrix Energy Llc,"Rt. 292    P.O. Box 190, Lovely, KY 41231",,Appalachia Central,594735,151,363642,13.295871207166199
1519730,2016,S-18 Seng Branch,Kentucky (East),Martin,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,59728,8,9459,10.997556201154365
1517741,2016,Paradise #9,Kentucky (West),Muhlenberg,Active,Underground,Independent Producer Operator,Mine and Preparation Plant,Kenamerican Resources Inc,"297-A State Route 2551, Bremen, KY 42325",,Illinois Basin,1863259,230,550716,14.437837663001964
1519358,2016,Parkway Mine,Kentucky (West),Muhlenberg,Permanently abandoned,Underground,Independent Producer Operator,Mine only,"Armstrong Coal Company, Inc.","407 Brown Road, Madisonville, KY 42431",,Illinois Basin,474857,73,152296,13.07076898505976
1519744,2016,Survant,Kentucky (West),Muhlenberg,Active,Underground,Independent Producer Operator,Mine only,Thoroughfare Mining Llc,"2802 River Haul Rd, Central City, KY 42330",,Illinois Basin,687671,64,140433,13.44106580486809
1202416,2016,Addcar Systems 20 Hwm Serial N,Kentucky (West),Ohio,Active,Surface,Independent Producer Operator,Mine only,Ugm Addcar Systems Llc,"No. 1 Hwm Drive, Ashland, KY 41102",,Illinois Basin,212367,19,46316,12.266071189047544
1519344,2016,Equality,Kentucky (West),Ohio,Active,Surface,Independent Producer Operator,Mine only,"Armstrong Coal Company, Inc.","407 Brown Road, Madisonville, KY 42431",,Illinois Basin,1644701,97,212555,14.313069162742796
1519511,2016,Lewis Creek,Kentucky (West),Ohio,Active,Surface,Independent Producer Operator,Mine only,"Armstrong Coal Co., Inc.","407 Brown Road, Madisonville, KY 42431",,Illinois Basin,944855,71,153661,13.75878675554945
1519535,2016,Kronos Mine,Kentucky (West),Ohio,Active,Underground,Independent Producer Operator,Mine only,"Armstrong Coal Company, Inc.","Mantanzas Road, Centertown, KY 42323",,Illinois Basin,2136725,259,592166,14.57478484094812
1519683,2016,P.Ridge Mine-South Pit,Kentucky (West),Ohio,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Western Kentucky Minerals, Inc","P.O. Box 155, Philpot, KY 42366",,Illinois Basin,15985,4,7870,9.679406061493943
1503627,2016,#20 Strip Job,Kentucky (East),Perry,Active,Surface,Operating Subsidiary,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,147128,19,35246,11.899058235178817
1509636,2016,No. 77,Kentucky (East),Perry,Active,Underground,Operating Subsidiary,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,249967,49,101594,12.429084188131617
1516883,2016,Combs Branch Job,Kentucky (East),Perry,Temporarily closed,Surface,Independent Producer Operator,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,20587,7,6214,9.932415087609309
1518048,2016,Rowdy Gap Mine,Kentucky (East),Perry,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,308070,25,59170,12.63808230886045
1518565,2016,E4-1,Kentucky (East),Perry,Active,Underground,Independent Producer Operator,Mine only,"Perry County Coal, Llc","1845 South Ky Hwy 15, Hazard, KY 41701",,Appalachia Central,25886,16,32220,10.161457561002383
1518769,2016,S-17 Cumberland,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,"Revelation Energy, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,485652,37,111023,13.093247597014111
1518777,2016,Hazard Job #6,Kentucky (East),Perry,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,B & W Resources Inc,"300 Liperote Way, London, KY 40741",,Appalachia Central,109932,12,22418,11.607617271803209
1518914,2016,Highwall Miner #1,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,"Ckj Enterprises, Inc","P.O. Box 952, Hyden, KY 41749",,Appalachia Central,73354,6,16439,11.203052315144923
1518966,2016,East Mac & Nellie,Kentucky (East),Perry,Active,Surface,Operating Subsidiary,Mine only,Pine Branch Mining Llc,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,563262,48,122301,13.241500162994308
1519015,2016,E4-2,Kentucky (East),Perry,Active,Underground,Independent Producer Operator,Mine only,"Perry County Coal, Llc","1845 S Ky Hwy 15, Hazard, KY 41701",,Appalachia Central,724524,157,401025,13.493270166488207
1519405,2016,Orchard Branch Mine No. 89,Kentucky (East),Perry,Active,Underground,Operating Subsidiary,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,550259,73,180743,13.218144355456673
1519419,2016,Noble Mine #2,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,Noble Construction,"P.O. Box 83, Bulan, KY 41722",,Appalachia Central,9348,5,2400,9.142917695658749
1519598,2016,Poundmill Mine No 90,Kentucky (East),Perry,Permanently abandoned,Underground,Operating Subsidiary,Mine only,Blue Diamond Coal Company,"1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,88989,20,23565,11.396268045570105
1519778,2016,Upper Second Creek Mine,Kentucky (East),Perry,Active,Surface,Independent Producer Operator,Mine only,"Locust Grove, Inc.","P.O. Box 958, Hazard, KY 41702",,Appalachia Central,161587,16,42294,11.992798976288661
1519780,2016,Wiley Miller Mine,Kentucky (East),Perry,Permanently abandoned,Surface,Operating Subsidiary,Mine only,"Pine Branch Mining, Llc","1021 Tori Drive, Hazard, KY 41701",,Appalachia Central,43268,8,12988,10.67516861075018
1515215,2016,# 5,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,"Bee B & B, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,97562,28,50413,11.488243352324732
1516855,2016,#2,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,"R & C Coal, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,14636,6,7311,9.591239526139097
1517659,2016,Three Mile Mine #1,Kentucky (East),Pike,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Cam Mining Llc,"P.O. Box 1169, Pikeville, KY 41502",,Appalachia Central,130033,12,26085,11.775543543378083
1517941,2016,No 2,Kentucky (East),Pike,"Active, men working, not producing",Surface,Operating Subsidiary,Mine only,Apex Energy Inc,"P.O. Box 2100, Elkhorn City, KY 41502",,Appalachia Central,53868,35,50221,10.894291888569933
1517979,2016,Mine No. 8,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,"Woodman Three Mine, Inc.","2412 Feds Creek Road, Steele, KY 41566",,Appalachia Central,65928,13,32831,11.096318516443219
1517982,2016,# 15,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Cheyenne Elkhorn Coal Co.,"311 Walters Road, Pikeville, KY 40501",,Appalachia Central,31262,9,21926,10.350158581455416
1518001,2016,Blackberry #1,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,"Covenant Coal Corporation, Inc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,5648,7,5259,8.639056779173078
1518015,2016,Bent Mountain,Kentucky (East),Pike,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Kentucky Fuel Corporation,"P.O. Box 1085, Beckley, WV 25802",,Appalachia Central,125330,14,27650,11.738705537605568
1518029,2016,No 2,Kentucky (East),Pike,Active,Surface,Operating Subsidiary,Mine only,C W Augering Inc,"24044 State Highway 194 East, Fedscreek, KY 41524",,Appalachia Central,44598,15,19870,10.705444293953349
1518040,2016,No. 6,Kentucky (East),Pike,Active,Surface,Operating Subsidiary,Mine only,Apex Energy Inc,"6320 Hwy 610 W, Myra, KY 41537",,Appalachia Central,358768,45,102746,12.790431219013312
1518280,2016,S-1 Hunts Branch,Kentucky (East),Pike,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Revelation Energy Llc,"P.O. Box 249, Stanville, KY 41659",,Appalachia Central,94938,10,15425,11.460979325947038
1518369,2016,Black Pearl Mining Inc No 3,Kentucky (East),Pike,Temporarily closed,Underground,Independent Producer Operator,Mine only,Black Pearl Mining Inc,"290 Big Shelby Creek, Jenkins, KY 41537",,Appalachia Central,17112,8,4243,9.747535250762242
1518626,2016,Mine # 5,Kentucky (East),Pike,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,Inspiration Resources Inc.,"P.O. Box 431, Hardy, KY 41531",,Appalachia Central,51764,14,19748,10.85445020594156
1518730,2016,M-119/M-102-Job-49,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Contract Highwall Mining Llc,"P.O. Box 249, Stanville, KY 41659",,Appalachia Central,20617,11,5338,9.933871257170567
1518737,2016,Auger No. 29,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Resource Management & Recovery,"P.O. Box 3124, Wise, VA 24293",,Appalachia Central,15927,3,3308,9.675771061251782
1518775,2016,Mine #15,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Mccoy Elkhorn Coal Co.,"2560 State Highway 194 East, Pikeville, KY 41501",,Appalachia Central,62941,30,54084,11.049953058639625
1518911,2016,Mine #28,Kentucky (East),Pike,Active,Underground,Operating Subsidiary,Mine only,Cam Mining Llc,"P.O. Box 1169, Pikeville, KY 41502",,Appalachia Central,174615,16,33079,12.070338829350451
1518931,2016,No 7,Kentucky (East),Pike,Permanently abandoned,Surface,Independent Producer Operator,Mine only,Apex Energy Inc,"24044 State Highway 194 East, Fedscreek, KY 41524",,Appalachia Central,414,10,5630,6.025865973825314
1518943,2016,Mine No 5,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Falcon Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,Appalachia Central,91671,16,38449,11.425961359590552
1518946,2016,Job #49,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"Premier Elkhorn Coal Company,","6920 Highway 610 W, Myra, KY 41537",,Appalachia Central,172397,33,81040,12.057555235668213
1518952,2016,No 2,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Phoenix Fuels Corporation,"164 Powderhouse Hollow Road, Pikeville, KY 41501",,Appalachia Central,3041,3,593,8.019941687677365
1519094,2016,Center Creek Mine,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,C S & S Coal Corporation,"P.O. Box 1247, Wise, VA 24293",,Appalachia Central,66254,15,32089,11.10125111938432
1519097,2016,Process Energy,Kentucky (East),Pike,Permanently abandoned,Underground,Operating Subsidiary,Mine only,"Sidney Coal Company, Llc","P.O. Box 1098, Holden, WV 25625",,Appalachia Central,467028,108,220420,13.054144492027122
1519153,2016,#1 Mine,Kentucky (East),Pike,Temporarily closed,Underground,Independent Producer Operator,Mine only,Dynasty Mining Inc.,"1386 Powells Creek, Pikeville, KY 41501",,Appalachia Central,4705,11,2665,8.45638105201948
1519280,2016,No 4,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Cavalier Mineral Inc,"17339 River Drive Suite B, Vansant, VA 24656",,Appalachia Central,70771,23,34229,11.167204591251192
1519325,2016,Mine No. 7,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Clas Coal Company Inc.,"P.O. Box 643, Elkhorn City, KY 41522",,Appalachia Central,123978,35,82184,11.727859409491659
1519396,2016,Persimmon #1,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Clintwood Elkhorn Mining Llc,"23956 State  Highway 194e, Feds Creek, KY 41524",,Appalachia Central,69748,11,16196,11.152644025437384
1519475,2016,Beech Creek Surface Mine,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Kentucky Fuel Corporation,"P.O. Box 1085, Beckley, WV 25802",,Appalachia Central,14928,22,36524,9.610993923087126
1519501,2016,Mine No 11,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,Hubble Mining Co Llc,"P.O. Box 392, Pikeville, KY 41502",,Appalachia Central,98707,36,67185,11.499911144892543
1519515,2016,Mine #4,Kentucky (East),Pike,Active,Underground,Operating Subsidiary,Mine only,"Excel Mining, Llc.","4168 State Highway 194 West, Pikeville, KY 41501",,Appalachia Central,1204515,184,430338,14.001587554259645
1519544,2016,No 9,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"Apex Energy, Inc.","24044 State Highway 194 East, Fedscreek, KY 41524",,Appalachia Central,24549,17,18688,10.10842639919549
1519585,2016,Ghm #30,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Green Hill Mining Inc,"P.O. Box 760, London, KY 40701",,Appalachia Central,10388,2,2006,9.248406572782638
1519606,2016,M-119-Job-58,Kentucky (East),Pike,Temporarily closed,Surface,Independent Producer Operator,Mine only,"Contract Highwall Mining, Llc","P.O. Box 249, Stanville, KY 41659",,Appalachia Central,27033,10,5977,10.204813620903147
1519689,2016,No 24,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,Cw Augering Inc,"24044 State Highway  194, Fedscreek, KY 41524",,Appalachia Central,64714,14,15003,11.077732840389075
1519722,2016,No. 11 Allen Branch Job,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"Apex Energy, Inc.","24044 State Highway 194 East, Fedscreek, KY 41524",,Appalachia Central,41892,18,23981,10.642850156893036
1519760,2016,Job #58,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"Premier Elkhorn Coal Company,","6920 Highway 610 W, Myra, KY 41537",,Appalachia Central,806,3,863,6.692083742506628
1519775,2016,7,Kentucky (East),Pike,"Active, men working, not producing",Underground,Independent Producer Operator,Mine only,"Jet Coal Co., Inc..","14551 Elkhorn Creek Road, Shelby Gap, KY 41563",,Appalachia Central,20284,12,23397,9.91758767691491
1519784,2016,Hackney Creek Splashdam,Kentucky (East),Pike,Active,Underground,Independent Producer Operator,Mine only,"Cheyenne Enterprises, Inc.","5363 Collins Highway, Pikeville, KY 41501",,Appalachia Central,11331,7,11110,9.335297611380566
1519799,2016,Fedscreek Surface,Kentucky (East),Pike,Active,Surface,Independent Producer Operator,Mine only,"P B Dirt Movers, Inc","P.O. Box 10, Big Rock, VA 24603",,Appalachia Central,24152,5,3250,10.092122471386675
4609151,2016,#46 (Phelps),Kentucky (East),Pike,Temporarily closed,Surface,Independent Producer Operator,Mine only,Bundy Auger Mining Inc,"P.O. Box 249, Stanville, KY 41659",,Appalachia Central,100822,6,11191,11.521111864773728
1519374,2016,River View Mine,Kentucky (West),Union,Active,Underground,Operating Subsidiary,Mine only,River View Coal Llc,"835 Sr 1179, Waverly, KY 42462",,Illinois Basin,8607528,594,1390643,15.96814772716658
1502132,2016,Dotiki Mine,Kentucky (West),Webster,Active,Underground,Operating Subsidiary,Mine and Preparation Plant,Webster County Coal Llc,"1758 State Route 874, Clay, KY 42404",,Illinois Basin,3744015,363,921704,15.13566912298185
1517871,2016,Ghm #40,Kentucky (East),Whitley,Temporarily closed,Surface,Independent Producer Operator,Mine only,Green Hill Mining Inc,"P.O. Box 760, London, KY 40743",,Appalachia Central,40387,2,4504,10.606263229988029
1518466,2016,F-M #4,Kentucky (East),Whitley,Active,Underground,Contractor,Mine only,F-M Coal Corp,"P.O. Box 1733, Corbin, KY 40702",,Appalachia Central,91472,20,46937,11.423788193503752
1518716,2016,Hatfield Gap Surface Mine,Kentucky (East),Whitley,Active,Surface,Independent Producer Operator,Mine only,"Tackettcreek Mining, Inc.","111 Mill Creek Road, Pathfork, KY 40863",,Appalachia Central,34308,13,19906,10.443133842110312
1519002,2016,Josie Mine #2,Kentucky (East),Whitley,Active,Surface,Independent Producer Operator,Mine only,American Highwall Mining Llc,"P.O. Box 1539, Chilhowie, VA 24319",,Appalachia Central,4085,7,13862,8.315077007294104
1519614,2016,Maple Creek Mine #1,Kentucky (East),Whitley,Permanently abandoned,Surface,Independent Producer Operator,Mine only,"Alden Resources, Llc","332 W. Cumberland Gap Parkway,, Corbin, KY 40701",,Appalachia Central,20426,10,22177,9.924563878138045
1519644,2016,Highwall Miner #12,Kentucky (East),Whitley,Active,Surface,Independent Producer Operator,Mine only,"Bundy Auger Mining, Inc.","2005 Webster Road, Summersville, WV 26651",,Appalachia Central,8472,4,1568,9.044521887281242
1519663,2016,Ghm #56,Kentucky (East),Whitley,Temporarily closed,Surface,Independent Producer Operator,Mine only,Green Hill Mining Inc,"6109 S. Us Hwy 25, Corbin, KY 40701",,Appalachia Central,24100,2,4579,10.089967119478747
1519779,2016,Steele Hollow Mine,Kentucky (East),Whitley,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,"Acpky1, Llc","2200 Winter Springs Blvd #317, Oviedo, FL 32765",,Appalachia Central,6263,7,4824,8.742414582525413
1519788,2016,Maple Creek North,Kentucky (East),Whitley,Active,Surface,Independent Producer Operator,Mine only,"Alden Resources, Llc","332 W Cumberland Gap Pkwy, Corbin, KY 40701",,Appalachia Central,19019,22,22304,9.85319375848166
1519792,2016,Hubbs Holllow,Kentucky (East),Whitley,"Active, men working, not producing",Surface,Independent Producer Operator,Mine only,Mountainside Coal Company,"7692 S Hwy 25w, Williamsburg, KY 40769",,Appalachia Central,39350,20,18746,10.58025125384555
